,formatted_rules,cleaned_rules,lang
1261,"모든 게시글은 팔로워 한정 공개로만 올려주시고, 공개 타임라인 업로드를 삼가주세요.",모든 게시글은 팔로워 한정 공개로만 올려주시고 공개 타임라인 업로드를 삼가주세요,non-Englsih
1262,개인 서버인 관계로 서버에 문제가 있을 경우 복구에 다소 시일이 소요될 수 있습니다. 느긋하게 기다려주세요.,개인 서버인 관계로 서버에 문제가 있을 경우 복구에 다소 시일이 소요될 수 있습니다 느긋하게 기다려주세요,non-Englsih
1263,Hou het netjes!,hou het netjes,non-Englsih
1264,This server abides by the Mastodon Covenant,this server abides by the mastodon covenant,English
1265,"Organizations are welcome to engage with the community in a non-commercial, non-advertising manner.",organizations are welcome to engage with the community in a noncommercial nonadvertising manner,English
1266,"Artists, musicians, writers and artisans are welcome to engage with the community regarding their craft.",artists musicians writers and artisans are welcome to engage with the community regarding their craft,English
1267,"Do not engage in harassment, hateful content or posts of a derogatory nature.",do not engage in harassment hateful content or posts of a derogatory nature,English
1268,Do not make advertising posts for the sake of purely promoting a commercial product or service.,do not make advertising posts for the sake of purely promoting a commercial product or service,English
1269,Content originating from this site may not be used for machine training or other data mining activities without the individual author's consent.,content originating from this site may not be used for machine training or other data mining activities without the individual authors consent,English
1270,Photos of pets/animals only,photos of petsanimals only,English
1271,"Sexually, explicit or violent media are not allowed",sexually explicit or violent media are not allowed,English
1272,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism",no racism sexism homophobia transphobia xenophobia or casteism,non-Englsih
1273,No incitement of violence or promotion of violent ideologies,no incitement of violence or promotion of violent ideologies,English
1274,Be kind,be kind,non-Englsih
1275,Follow the code of conduct!,follow the code of conduct,English
1276,"Hier is geen plaats voor racisme, seksisme, homofobie, transfobie of vreemdelingenhaat.",hier is geen plaats voor racisme seksisme homofobie transfobie of vreemdelingenhaat,non-Englsih
1277,Zet niet aan tot geweld of promoot geen gewelddadige ideologieën.,zet niet aan tot geweld of promoot geen gewelddadige ideologieën,non-Englsih
1278,"Beledigen, pesten, zwartmaken van een gebruiker naar andere gebruikers, of ongevraagd prive berichten sturen zijn ten stelligste verboden.",beledigen pesten zwartmaken van een gebruiker naar andere gebruikers of ongevraagd prive berichten sturen zijn ten stelligste verboden,non-Englsih
1279,Deel geen content in strijd met de wetgeving.,deel geen content in strijd met de wetgeving,non-Englsih
1280,Deel geen opzettelijk valse of misleidende informatie.,deel geen opzettelijk valse of misleidende informatie,non-Englsih
1281,Nieuwe toots en reacties op toots worden in het Nederlands opgesteld.,nieuwe toots en reacties op toots worden in het nederlands opgesteld,non-Englsih
1282,"Respektvoller Umgang: 
Behandeln Sie andere User:innen mit Respekt und Rücksicht und verzichten Sie auf Feindseligkeiten. Beschimpfungen, Drohungen und Beleidigungen, sowie ruf- oder geschäftsschädigende Äußerungen werden nicht akzeptiert.",respektvoller umgang behandeln sie andere userinnen mit respekt und rücksicht und verzichten sie auf feindseligkeiten beschimpfungen drohungen und beleidigungen sowie ruf oder geschäftsschädigende äußerungen werden nicht akzeptiert,non-Englsih
1283,"Sachliche Argumentation: 
Untermauern Sie Ihre Meinung mit nachvollziehbaren Begründungen und vertrauenswürdigen Quellen und gehen Sie auf die Argumente anderer User:innen auf einer sachlichen Ebene ein. Bitte unterlassen Sie Unterstellungen, Verdächtigungen und nicht prüfbare Behauptungen. ",sachliche argumentation untermauern sie ihre meinung mit nachvollziehbaren begründungen und vertrauenswürdigen quellen und gehen sie auf die argumente anderer userinnen auf einer sachlichen ebene ein bitte unterlassen sie unterstellungen verdächtigungen und nicht prüfbare behauptungen,non-Englsih
1284,"Einhaltung von Gesetzen und Rechtsvorschriften: 
Sie sind verpflichtet, Gesetze und Rechtsvorschriften in Ihren Postings einzuhalten. Auch das Teilen von Links, die zu illegalen Inhalten führen (z.B. nicht autorisierte Streaming-Portale) ist untersagt. ",einhaltung von gesetzen und rechtsvorschriften sie sind verpflichtet gesetze und rechtsvorschriften in ihren postings einzuhalten auch das teilen von links die zu illegalen inhalten führen zb nicht autorisierte streamingportale ist untersagt,non-Englsih
1285,"Keine Diskriminierung und Diffamierung: Rassistische, sexistische, frauenfeindliche, homophobe, antisemitische und andere menschenfeindliche Beiträge, in denen Gruppen pauschal verurteilt oder verunglimpft werden, sind nicht gestattet. ",keine diskriminierung und diffamierung rassistische sexistische frauenfeindliche homophobe antisemitische und andere menschenfeindliche beiträge in denen gruppen pauschal verurteilt oder verunglimpft werden sind nicht gestattet,non-Englsih
1286,"Adäquate Ausdrucksweise: 
Formulieren Sie Ihre Beiträge bitte in allgemein verständlicher Ausdrucksweise und Sprache. Schimpfwörter, Fäkalsprache, rohe, doppeldeutige oder obszöne Sprache sind nicht zugelassen.",adäquate ausdrucksweise formulieren sie ihre beiträge bitte in allgemein verständlicher ausdrucksweise und sprache schimpfwörter fäkalsprache rohe doppeldeutige oder obszöne sprache sind nicht zugelassen,non-Englsih
1287,Keine Werbung: Werbung und andere Inhalte mit werbendem Charakter sind untersagt.,keine werbung werbung und andere inhalte mit werbendem charakter sind untersagt,non-Englsih
1288,No spam. No hate speech.,no spam no hate speech,non-Englsih
1289,このサーバーはアーティスト「ClariS」の非公式ファンコミュニティです。当サーバーについて公式様へのお問い合わせはご遠慮ください。,このサーバーはアーティストclarisの非公式ファンコミュニティです当サーバーについて公式様へのお問い合わせはご遠慮ください,non-Englsih
1290,他人に成りすます行為は禁止です。,他人に成りすます行為は禁止です,non-Englsih
1291,サーバーに過度な負荷をかける行為は禁止です。例えば短時間で数百件を超えるような大量フォローや大量の投稿やファボ、動画や画像などのファイルを連続して投稿するなどのオペレーションなどが該当します。,サーバーに過度な負荷をかける行為は禁止です例えば短時間で数百件を超えるような大量フォローや大量の投稿やファボ動画や画像などのファイルを連続して投稿するなどのオペレーションなどが該当します,non-Englsih
1292,日本国内の法律に違反する行為は禁止です。,日本国内の法律に違反する行為は禁止です,non-Englsih
1293,Be polite and kind. Don't be a jerk.,be polite and kind dont be a jerk,non-Englsih
1294,Be respectful - even if you disagree. Civility goes a long way.,be respectful even if you disagree civility goes a long way,English
1295,"Religious speech, hate speech, discrimination, and harassment of any kind is not tolerated on this server.",religious speech hate speech discrimination and harassment of any kind is not tolerated on this server,English
1296,No spam or commercial advertisements.,no spam or commercial advertisements,non-Englsih
1297,This server is intended for anyone who works in law firm marketing.,this server is intended for anyone who works in law firm marketing,English
